county_id,accuracy,recession_lead_time,committee_lead_time
01001,15,-2,90
01003,16,0,92
01005,12,4,77
01007,17,3,110
01009,17,-3,90
01011,8,-9,119
01013,14,4,121
01015,22,2,100
01017,10,-5,110
01019,7,-1,92
01021,16,0,90
01023,24,0,110
01025,11,4,107
01027,10,-6,100
01029,11,5,92
01031,18,5,77
01033,11,6,92
01035,12,1,92
01037,24,4,120
01039,17,7,92
01041,15,5,110
01043,22,0,90
01045,20,0,124
01047,10,-4,120
01049,7,-2,92
01051,25,-1,90
01053,14,8,153
01055,12,5,92
01057,15,5,77
01059,42,-18,114
01061,19,5,77
01063,16,-10,90
01065,14,6,92
01067,12,-3,90
01069,22,-1,90
01071,15,5,92
01073,22,2,108
01075,11,0,92
01077,9,1,92
01079,17,3,111
01081,13,-1,101
01083,21,2,101
01085,14,-3,101
01087,11,0,62
01089,20,1,101
01091,10,-1,92
01093,17,1,108
01095,17,3,77
01097,12,6,153
01099,15,9,107
01101,15,-2,90
01103,21,3,111
01105,9,3,92
01107,12,5,92
01109,19,-9,121
01111,13,4,77
01113,16,6,77
01115,32,0,90
01117,31,-21,70
01119,10,-6,101
01121,17,6,92
01123,18,-2,110
01125,19,0,90
01127,21,2,100
01129,11,2,107
01131,11,-1,141
01133,9,4,92
02013,9,1,120
02016,15,2,82
02020,13,4,80
02050,18,0,92
02060,17,6,57
02068,18,5,57
02070,15,10,102
02090,13,3,80
02100,15,12,55
02105,7,11,0
02110,14,3,67
02122,20,2,90
02130,16,3,90
02150,15,-6,115
02158,12,-1,107
02164,16,11,138
02170,13,4,80
02180,17,-4,132
02185,17,-1,90
02188,14,0,77
02195,20,-14,56
02198,10,6,159
02220,13,7,83
02230,8,12,0
02240,14,-4,83
02261,19,6,57
02275,0,0,0
02282,13,14,220
02290,12,4,67
04001,16,0,107
04003,20,-7,90
04005,15,-5,121
04007,20,-6,90
04009,16,5,77
04011,19,-3,68
04012,16,-3,107
04013,21,-3,123
04015,19,-1,90
04017,15,2,107
04019,17,-3,108
04021,21,-2,62
04023,15,-6,117
04025,19,-7,80
04027,5,-4,24
05001,14,-9,121
05003,13,-4,122
05005,14,-2,122
05007,14,-9,121
05009,11,1,92
05011,18,9,92
05013,13,2,102
05015,12,3,102
05017,16,-4,122
05019,12,-8,129
05021,11,3,107
05023,9,2,107
05025,11,2,107
05027,11,-6,121
05029,15,0,112
05031,8,-3,120
05033,15,-1,112
05035,13,0,112
05037,12,2,107
05039,14,3,124
05041,16,-4,122
05043,12,-2,132
05045,15,0,112
05047,14,-1,121
05049,11,-4,92
05051,15,-7,121
05053,14,3,132
05055,6,-2,92
05057,12,-4,122
05059,15,-7,121
05061,12,-5,156
05063,7,1,92
05065,8,-1,107
05067,9,1,55
05069,15,2,122
05071,11,1,122
05073,13,-6,112
05075,10,-3,122
05077,5,-1,107
05079,14,-1,122
05081,12,-2,112
05083,11,2,135
05085,8,3,75
05087,16,-7,121
05089,15,-5,122
05091,13,-3,120
05093,10,2,55
05095,13,6,112
05097,11,-2,83
05099,10,-4,112
05101,15,1,122
05103,12,-4,122
05105,16,8,107
05107,14,1,122
05109,14,5,104
05111,8,2,112
05113,10,-5,104
05115,13,-6,122
05117,13,-1,72
05119,8,0,102
05121,8,2,107
05123,8,2,112
05125,19,-2,102
05127,9,-6,163
05129,15,0,115
05131,11,0,71
05133,11,-5,112
05135,10,2,107
05137,11,2,107
05139,8,2,81
05141,16,10,92
05143,14,-7,129
05145,7,1,80
05147,14,-2,132
05149,13,-1,121
06001,31,10,77
06003,7,-2,55
06005,12,1,80
06007,12,2,107
06009,13,3,107
06011,15,9,138
06013,33,3,111
06015,13,-1,89
06017,19,-6,101
06019,11,6,90
06021,10,3,80
06023,14,-3,81
06025,9,-8,102
06027,13,8,107
06029,15,-3,90
06031,16,-1,100
06033,12,5,90
06035,7,-1,107
06037,19,0,101
06039,12,6,123
06041,50,-3,111
06043,15,8,90
06045,15,6,107
06047,13,7,123
06049,12,6,90
06051,14,-9,137
06053,14,7,123
06055,16,-7,90
06057,17,-8,90
06059,19,0,101
06061,28,2,101
06063,14,-1,100
06065,19,0,101
06067,18,-8,90
12067,14,-4,77
12069,17,-15,77
12071,19,-11,101
12073,19,1,101
12075,14,4,77
12077,26,0,111
12079,17,-13,112
12081,10,-4,77
12083,21,0,77
12085,8,-5,62
12086,33,-13,121
12087,31,-9,80
12089,24,-2,100
12091,21,-11,80
12093,11,-6,111
12095,40,13,77
12097,25,-13,111
12099,14,2,121
12101,21,0,77
12103,36,11,77
12105,11,-10,77
12107,12,0,77
12109,31,5,62
12111,8,-5,62
12113,16,-5,62
12115,25,-11,77
12117,36,3,111
12119,11,-5,77
12121,25,6,77
12123,13,3,77
12125,20,3,111
12127,30,-3,77
12129,28,2,100
12131,21,-11,80
12133,10,-4,77
13001,14,8,128
13003,11,-1,80
13005,15,-6,110
13007,18,4,77
13009,15,-2,90
13011,24,4,77
13013,25,0,77
13015,25,-3,110
13017,13,-3,90
13019,21,5,76
13021,25,-4,47
13023,13,7,154
13025,18,2,123
13027,14,4,139
13029,28,-3,90
13031,6,-2,139
13033,8,-2,77
13035,14,3,77
13037,18,-2,101
13039,20,3,93
13043,14,0,90
13045,17,-1,77
13047,22,-3,60
13049,17,1,90
13051,17,5,124
13053,9,-1,138
13055,8,5,123
13057,31,-16,80
13059,16,10,99
13061,7,0,123
13063,28,0,101
13065,6,-4,62
13067,36,-14,139
13069,12,14,190
13071,18,3,77
13073,23,-11,90
13075,18,-5,80
13077,26,-10,90
13079,17,-14,121
13081,18,1,128
13083,16,-13,90
13085,32,6,100
13087,17,-3,62
13089,29,11,139
13091,11,3,147
13093,16,0,92
13095,20,5,124
13097,42,-12,90
13099,19,-9,136
13101,19,3,131
13103,21,-3,80
13105,18,0,70
13107,12,-10,111
13109,24,4,111
13111,17,-3,77
13113,28,0,90
13115,15,1,94
13117,42,-2,90
13119,42,-18,114
13121,35,2,111
13123,25,-3,80
13125,19,0,90
13127,25,-11,80
13129,14,1,94
13131,13,-1,90
13133,17,4,77
13135,36,0,139
13137,19,4,77
13139,29,5,62
13141,12,6,107
13143,21,-2,77
13145,18,-8,112
13147,13,0,92
13149,15,1,92
13151,27,-10,101
13153,20,2,108
13155,13,6,107
13157,32,0,77
13159,28,3,100
13161,12,1,92
13163,8,6,128
13165,6,2,68
13167,8,-1,154
13169,14,2,62
13171,14,2,120
13173,13,3,77
13175,17,3,121
13177,24,-4,141
13179,21,-6,113
13181,14,3,107
13183,19,-17,113
13185,11,7,99
13187,13,0,77
13189,12,7,92
13191,19,-11,60
13193,25,-4,47
13195,23,-11,129
13197,17,1,108
13199,13,6,77
13201,18,-8,98
13205,13,-7,110
13207,21,1,111
13209,11,-3,100
13211,22,-8,60
13213,16,7,123
13215,15,-9,143
13217,21,6,77
13219,20,3,108
13221,24,-19,102
13223,38,-2,90
13225,17,-1,108
13227,29,1,90
13229,16,-3,80
13231,17,-1,74
13233,22,-3,77
13235,22,5,154
13237,23,1,101
13239,13,-2,108
13241,14,-3,62
13243,11,-8,90
13245,18,-1,112
13247,25,0,101
13249,19,0,90
13251,15,5,62
13253,9,-2,77
13255,26,-11,113
13257,13,2,99
13259,21,-6,113
13261,15,-5,122
13263,14,-8,92
13265,19,0,119
13267,9,2,99
13269,21,4,131
13271,7,5,209
13321,10,5,99
15001,29,-33,114
15003,29,-33,114
15007,30,-9,62
15009,44,-3,108
16001,21,-8,90
16003,13,5,55
16005,15,-2,110
16007,13,3,80
16009,11,1,80
16011,11,-1,110
16013,14,4,80
16015,21,-8,90
16017,15,5,107
16019,15,-5,80
16021,19,-1,90
16023,13,3,107
16025,7,-2,55
16027,13,2,92
16029,17,0,110
16031,14,-3,100
16033,13,-4,110
16035,11,1,80
16037,15,11,55
16039,13,5,80
16041,12,2,107
16043,12,3,107
16045,15,4,107
16047,13,4,107
16049,21,-8,90
16051,15,-1,100
16053,12,4,107
16055,13,5,80
16057,9,-3,77
16059,14,8,90
16061,14,3,107
16063,14,4,107
16065,9,-3,62
16067,14,-1,110
16069,10,-1,107
16071,17,-5,90
16073,19,-1,110
16075,13,5,107
16077,14,4,97
16079,16,7,123
16081,13,8,100
16083,11,2,107
16085,14,9,138
16087,12,-6,80
17001,12,-1,62
17003,5,-2,77
17005,9,-1,62
17007,6,-1,107
17009,14,3,62
17011,11,0,77
17013,6,-1,80
17015,9,2,107
17017,10,1,92
17019,10,-7,90
17021,10,-1,107
17023,14,-8,129
17025,10,1,92
17027,10,-2,80
17029,7,-4,49
17031,11,0,77
17033,10,-1,62
17035,6,-2,92
17037,10,1,77
17039,9,0,77
17041,11,-3,80
17043,13,0,77
17045,10,-8,80
17047,10,1,92
17049,12,-4,80
17051,12,-2,100
17053,8,-1,62
17055,12,2,107
17057,10,1,92
17059,17,-4,100
17061,17,5,107
17063,9,3,107
17065,9,1,77
17067,5,-2,77
17069,8,2,107
17071,9,0,107
17073,10,3,77
17075,10,2,107
17077,15,-9,80
17079,13,2,107
17081,9,-1,107
17083,13,-5,80
17085,11,3,107
17087,6,-2,92
17089,9,2,92
17091,11,2,107
17093,10,1,77
17095,7,-3,77
17097,10,1,92
17101,17,3,111
17103,11,1,92
17105,6,-3,77
17107,10,-1,62
17109,5,-2,77
17111,12,1,92
17113,6,-4,62
17115,11,0,62
17117,15,1,80
17119,15,-7,80
17121,10,0,62
17123,10,2,107
17125,11,-1,121
17127,10,-8,93
17129,12,5,92
17131,13,4,80
17133,11,-1,77
17135,15,5,110
17137,21,3,111
17139,6,-4,62
17141,10,2,107
17143,16,-5,70
17145,11,-3,90
17147,8,0,62
17149,11,0,121
17151,11,-1,62
17153,9,2,107
17155,12,4,123
17157,11,-2,90
17159,7,-4,62
17161,10,3,77
17163,19,-6,80
17165,11,0,77
17167,9,-1,62
17169,11,3,107
17171,6,-3,89
17173,12,-4,60
17175,6,-1,80
17177,10,1,92
17179,10,0,77
17181,11,2,107
17183,11,-1,62
17185,13,-4,90
17187,6,-4,62
17189,13,4,107
17191,7,-4,62
17193,10,0,77
17195,9,-1,62
17197,11,0,77
17199,14,-8,106
17201,11,2,107
17203,10,0,62
18001,15,1,92
18003,15,1,92
18005,14,-1,77
18007,11,1,92
18009,13,2,107
18011,17,0,77
18013,14,4,107
18015,13,1,92
18017,15,2,107
18019,19,-15,114
18021,16,8,92
18023,13,0,77
18025,12,4,107
18027,13,-1,92
18029,18,1,92
18031,15,3,107
18033,13,0,77
18035,11,1,92
18037,17,-3,77
18039,18,3,77
18041,16,4,107
18043,18,-14,121
18045,14,1,107
18047,12,1,92
18049,13,2,107
18051,15,-5,122
18053,13,1,92
18055,15,-4,107
18057,27,-8,77
18059,14,-1,77
18061,13,3,92
18063,18,-4,77
18065,14,6,92
18067,10,-2,92
18069,10,1,92
18071,18,-1,77
18073,13,2,107
18075,11,0,92
18077,57,-39,137
18079,13,3,107
18081,17,-3,77
18083,15,2,122
18085,18,-1,77
18087,15,1,77
18089,13,2,107
18091,15,2,107
18093,13,2,107
20017,14,-4,83
20019,11,-3,98
20021,12,-5,113
20023,7,-8,111
20025,9,-12,89
20027,18,-1,123
20029,8,-5,71
20031,15,-4,122
20033,9,3,123
20035,15,1,102
20037,14,-5,114
20039,9,-9,123
20041,12,-1,92
20043,14,5,102
20045,10,-7,114
20047,10,-10,92
20049,10,-3,98
20051,13,-14,98
20053,10,-8,80
20055,12,10,80
20057,4,-1,68
20059,11,1,92
20061,12,-3,102
20063,12,-8,91
20065,19,-7,98
20067,10,1,62
20069,6,-4,82
20071,13,-13,55
20073,13,-3,112
20075,11,0,102
20077,11,-8,98
20079,14,-14,106
20081,7,0,47
20083,7,-2,138
20085,13,-3,92
20087,13,-2,98
20089,11,-9,91
20091,20,-7,92
20093,16,-10,133
20095,12,-12,75
20097,13,-6,90
20099,11,-5,123
20101,9,-6,91
20103,8,-2,92
20105,13,2,102
20107,11,3,90
20109,9,-3,68
20111,10,-2,77
20113,14,3,82
20115,13,-6,106
20117,12,-9,102
20119,10,-10,60
20121,9,-1,102
20123,11,-8,98
20125,15,-9,121
20127,10,-1,107
20129,6,-4,47
20131,13,-9,92
20133,13,-4,92
20135,11,-11,60
20137,15,-16,98
20139,10,-4,106
20141,6,-2,91
20143,6,-3,92
20145,8,-2,102
20147,13,-11,92
20149,11,-9,90
20151,18,-5,133
20153,13,-1,100
20155,10,-2,77
20157,11,-11,68
20159,13,-2,84
20161,15,-9,114
20163,15,1,141
20165,10,-9,83
20167,6,-4,62
20169,9,-2,91
20171,11,-8,90
20173,17,-17,90
20175,15,-9,111
20177,11,-6,91
20179,11,-9,80
20181,13,-11,113
20183,11,-3,102
20185,9,-8,102
20187,6,-8,104
20189,17,-12,92
20191,19,-22,91
20193,13,-9,123
20195,15,-1,92
20197,17,0,110
20199,8,-1,55
20201,8,0,102
20203,17,-17,90
20205,17,-1,122
20207,13,-10,102
20209,13,4,92
21001,12,2,107
21003,12,2,77
21005,10,-3,92
21007,12,2,107
21009,15,-5,80
21011,10,0,107
21013,7,-3,55
21015,14,-2,77
21017,8,-3,92
21019,12,0,107
21021,10,-3,77
21023,11,2,107
21025,12,3,123
21027,12,3,107
21029,11,1,77
21031,25,-11,136
21033,11,0,92
21035,11,-8,92
21037,17,8,77
21039,17,-5,80
21041,13,4,107
21043,11,2,107
21045,12,0,92
24510,19,-2,129
25001,14,5,123
25003,14,2,107
25005,13,2,107
25007,13,8,90
25009,18,-1,92
25011,12,2,107
25013,11,1,92
25015,19,-7,112
25017,36,-17,112
25019,13,6,138
25021,19,-3,77
25023,12,0,92
25025,22,0,112
25027,14,-1,92
26001,15,6,123
26003,11,5,90
26005,12,3,92
26007,10,3,107
26009,16,7,107
26011,13,1,123
26013,8,0,92
26015,9,-2,92
26017,13,2,107
26019,13,-5,100
26021,11,4,107
26023,13,-2,112
26025,14,0,112
26027,12,2,92
26029,8,-1,107
26031,15,-3,110
26033,11,1,90
26035,13,5,123
26037,8,-4,62
26039,15,6,123
26041,7,0,90
26043,13,4,123
26045,8,-3,77
26047,15,8,90
26049,11,0,77
26051,13,3,107
26053,12,-2,107
26055,14,7,107
26057,11,3,92
26059,6,-3,77
26061,11,-2,92
26063,11,0,107
26065,7,-4,62
26067,10,2,77
26069,8,0,123
26071,14,8,90
26073,9,-3,92
26075,18,0,62
26077,10,-9,102
26079,15,7,123
26081,13,-9,112
26083,13,6,102
26085,13,3,107
26087,11,3,107
26089,14,-6,90
26091,5,-2,77
26093,12,-2,77
26095,12,5,90
26097,10,3,100
26099,15,6,77
26101,12,0,107
26103,13,3,107
26105,15,6,107
26107,9,-1,107
26109,12,-7,133
26111,12,-7,113
26113,10,4,107
26115,9,-8,112
26117,11,1,92
26119,11,5,123
26121,13,-1,77
26123,13,3,107
26125,21,-2,102
26127,15,7,123
26129,15,6,123
26131,15,5,90
26133,10,3,107
26135,12,4,55
26137,14,5,107
26139,13,-1,77
26141,16,7,90
26143,14,5,90
26145,11,1,77
26147,9,1,92
26149,13,0,92
26151,10,3,107
26153,14,5,90
26155,9,-2,92
26157,13,2,107
26159,13,4,107
26161,13,-2,112
26163,17,2,123
26165,13,3,107
27001,7,2,55
27003,14,-1,92
27005,13,5,123
27007,12,3,123
27009,7,0,123
27011,15,1,121
27013,12,-2,92
27015,16,7,107
27017,4,-3,55
27019,10,-1,77
27021,11,-1,102
27023,10,1,55
27025,7,0,123
27027,9,-1,107
27029,14,7,90
27031,7,-1,40
27033,7,-1,107
27035,11,4,123
27037,14,-3,77
27039,9,2,107
27041,11,-1,107
27043,7,2,55
29143,11,-6,122
29145,13,-8,132
29147,9,-4,141
29149,12,-1,104
29151,12,5,77
29153,11,3,104
29155,13,7,123
29157,14,-2,112
29159,11,6,138
29161,9,4,107
29163,9,-2,107
29165,12,-5,77
29167,8,-3,62
29169,17,2,111
29171,10,4,102
29173,13,-8,122
29175,9,-6,122
29177,12,3,107
29179,6,2,73
29181,12,-7,122
29183,13,5,107
29185,19,-6,80
29186,12,3,107
29187,14,6,107
29189,18,2,112
29195,10,-5,132
29197,8,-2,92
29199,11,5,77
29201,16,-1,122
29203,17,1,133
29205,14,-2,99
29207,7,-1,107
29209,17,9,123
29211,11,-8,122
29213,11,-1,107
29215,12,6,55
29217,12,5,92
29219,12,4,107
29221,14,-7,129
29223,17,-4,122
29225,8,-11,104
29227,11,-4,90
29229,8,4,55
29510,18,2,112
30001,12,2,107
30003,6,7,159
30005,9,2,107
30007,14,4,107
30009,13,4,90
30011,10,-2,61
30013,12,6,107
30015,11,-3,132
30017,13,9,107
30019,19,-1,153
30021,14,9,107
30023,17,11,107
30025,17,1,138
30027,13,6,123
30029,14,6,90
30031,13,6,123
30033,9,1,123
30035,13,5,123
30037,16,2,121
30039,13,5,123
30041,13,-4,90
30043,16,-3,90
30045,17,8,107
30047,9,2,107
30049,14,6,107
30051,17,-4,90
30053,8,1,55
30055,14,7,77
30057,12,2,100
30059,10,4,90
30061,14,6,90
30063,12,7,107
30065,13,-1,113
30067,13,7,90
30069,11,5,123
30071,10,3,123
30073,15,4,92
30075,11,3,107
30077,10,0,107
30079,10,-1,107
30081,13,7,107
30083,20,2,77
30085,14,7,159
30087,12,2,100
30089,10,4,123
30091,16,-4,122
30093,9,5,107
30095,10,5,107
30097,14,-4,122
30099,13,7,123
30101,25,8,123
30103,11,-2,45
30105,16,2,121
30107,14,8,90
30109,13,6,134
30111,14,5,107
31001,15,-8,129
31003,14,-2,101
31005,9,2,58
31007,16,-7,102
31009,13,2,121
31011,10,0,77
31013,13,6,92
31015,12,3,107
31017,13,-1,77
31019,8,-2,92
31021,12,4,123
31023,19,-9,112
31025,11,3,92
31027,17,2,77
31029,17,-15,114
31031,16,0,77
31033,18,-11,144
31035,11,-4,110
31037,22,-15,96
31039,10,-3,77
37019,14,-5,100
37021,15,-6,77
37023,19,6,77
37025,31,-11,92
37027,14,-14,92
37029,13,-3,60
37031,12,-1,92
37033,19,-3,102
37035,14,-11,112
37037,18,-14,112
37039,14,2,77
37041,10,-4,77
37043,33,8,77
37045,19,3,77
37047,21,7,120
37049,20,3,77
37051,13,-4,84
37053,13,3,69
37055,18,1,100
37057,25,-21,102
37059,14,-12,83
37061,20,0,77
37063,33,-14,84
37065,18,7,77
37067,19,4,77
37069,20,6,77
37071,13,-6,77
37073,11,3,61
37075,11,4,107
37077,19,3,77
37079,17,3,62
37081,19,-3,123
37083,17,7,107
37085,14,1,77
37087,15,1,77
37089,20,-15,112
37091,10,2,61
37093,17,-14,103
37095,15,9,43
37097,21,7,77
37099,10,-3,77
37101,19,-9,62
37103,17,3,62
37105,18,-11,123
37107,15,-12,112
37109,16,5,77
37111,17,0,77
37113,13,2,92
37115,12,-3,77
37117,17,-6,112
37119,31,5,77
37121,15,1,92
37123,14,-7,62
37125,17,0,77
37127,19,8,77
37129,25,-5,111
37131,13,7,92
37133,15,2,77
37135,19,-6,94
37137,13,-3,77
37139,12,2,77
37141,19,3,77
37143,10,-3,77
37145,15,-6,77
37147,17,2,123
37149,31,-25,110
37151,15,-4,77
37153,13,3,77
37155,20,5,77
37157,25,3,123
37159,17,-15,102
37161,16,-6,123
37163,16,-1,77
37165,12,-10,102
37167,28,-3,112
37169,13,-4,77
37171,13,3,77
37173,12,5,67
37175,14,-4,77
37177,15,6,80
37179,21,-6,77
37181,14,4,77
37183,43,-35,112
37185,15,3,77
37187,14,-7,129
37189,8,-2,77
37191,24,0,123
37193,14,-5,77
37195,18,4,77
37197,21,-17,102
37199,16,9,92
38001,14,2,123
38003,11,1,92
38005,10,3,107
38007,16,-4,132
38009,12,2,107
38011,13,4,107
38013,12,2,107
38015,11,2,107
38017,11,-1,102
38019,13,2,107
38021,17,-8,102
38023,18,-1,62
38025,16,-1,77
38027,13,4,107
38029,13,5,90
